period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,city,state
2025-07-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,501454,megawatthours,New York,New York
2025-07-25,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,575639,megawatthours,New York,New York
2025-07-24,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,524638,megawatthours,New York,New York
2025-07-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,466856,megawatthours,New York,New York
2025-07-22,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,443227,megawatthours,New York,New York
2025-07-21,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,493897,megawatthours,New York,New York
2025-07-20,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,507938,megawatthours,New York,New York
2025-07-19,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,454397,megawatthours,New York,New York
2025-07-18,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,492801,megawatthours,New York,New York
2025-07-17,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,594728,megawatthours,New York,New York
2025-07-16,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,587198,megawatthours,New York,New York
2025-07-15,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,553254,megawatthours,New York,New York
2025-07-14,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,554606,megawatthours,New York,New York
2025-07-13,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,510365,megawatthours,New York,New York
2025-07-12,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,514639,megawatthours,New York,New York
2025-07-11,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,533381,megawatthours,New York,New York
2025-07-10,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,530750,megawatthours,New York,New York
2025-07-09,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,556728,megawatthours,New York,New York
2025-07-08,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,574492,megawatthours,New York,New York
2025-07-07,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,565879,megawatthours,New York,New York
2025-07-06,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,500009,megawatthours,New York,New York
2025-07-05,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,439855,megawatthours,New York,New York
2025-07-04,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,412395,megawatthours,New York,New York
2025-07-03,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,494340,megawatthours,New York,New York
2025-07-02,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,510732,megawatthours,New York,New York
2025-07-01,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,553433,megawatthours,New York,New York
2025-06-30,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,532117,megawatthours,New York,New York
2025-06-29,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,478643,megawatthours,New York,New York
2025-06-28,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,436440,megawatthours,New York,New York
2025-06-27,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,425393,megawatthours,New York,New York
